timestamp,gyro_x,gyro_y,gyro_z
3.134,3.511,2.573,0.908
3.150,3.168,2.534,0.458
3.166,3.412,2.450,0.221
3.183,3.481,2.687,0.435
3.199,3.336,2.481,0.527
3.215,3.366,2.389,0.611
3.231,3.397,2.519,0.557
3.248,3.550,2.557,0.519
3.264,3.542,2.664,0.435
3.280,3.557,2.489,0.687
3.296,3.412,2.672,0.412
3.312,3.511,2.321,0.397
3.329,3.160,2.466,0.626
3.345,3.412,2.344,0.435
3.361,3.298,2.695,0.878
3.378,3.580,2.382,0.618
3.394,3.359,2.412,0.557
3.410,3.496,2.756,0.710
3.426,3.321,2.511,0.573
3.442,3.046,2.443,0.695
3.459,3.527,2.542,0.244
3.475,3.557,2.626,0.511
3.491,3.328,2.344,0.466
3.507,3.176,2.489,0.924
3.524,3.412,2.282,0.771
3.540,3.328,2.588,0.687
3.556,3.328,2.237,0.718
3.572,3.504,2.519,0.611
3.588,3.252,2.504,0.634
3.605,3.458,2.550,0.550
3.622,3.489,2.458,0.626
3.638,3.092,2.634,0.374
3.655,3.351,2.557,0.595
3.671,3.458,2.580,0.588
3.687,3.420,2.366,0.511
3.703,3.374,2.405,0.527
3.720,3.282,2.580,0.695
3.736,3.443,2.397,0.542
3.752,3.282,2.374,0.366
3.768,3.252,2.344,0.351
3.785,3.290,2.740,0.580
3.801,3.321,2.588,0.527
3.817,3.679,2.496,0.603
3.833,3.282,2.595,0.458
3.849,3.435,2.336,0.702
3.866,3.481,2.069,0.679
3.882,3.450,2.504,0.740
3.898,3.374,2.397,0.718
3.914,3.573,2.824,0.458
3.930,3.328,2.824,0.550
3.947,3.450,2.573,0.534
3.963,3.305,2.260,0.656
3.979,3.351,2.427,0.397
3.995,3.366,2.328,0.779
4.011,3.130,2.534,0.672
4.028,3.519,2.687,0.313
4.044,3.504,2.649,0.931
4.060,3.198,2.679,0.458
4.076,3.153,2.511,0.466
4.092,3.321,2.595,0.618
4.109,3.412,2.519,0.336
4.125,3.603,2.771,0.740
4.141,3.626,2.412,0.534
4.157,3.321,2.450,0.565
4.173,3.366,2.618,0.527
4.190,3.580,2.290,0.656
4.206,3.244,2.573,0.359
4.222,3.313,2.611,0.649
4.239,3.382,2.458,0.679
4.255,3.344,2.817,0.664
4.271,3.641,2.473,0.580
4.287,3.405,2.618,0.603
4.303,3.397,2.527,0.847
4.320,3.344,2.511,0.626
4.336,3.206,2.496,0.504
4.352,3.412,2.145,0.588
4.369,3.412,2.718,0.687
4.385,3.466,2.664,0.603
4.401,3.275,2.359,0.481
4.418,3.084,2.595,0.282
4.434,3.206,2.679,0.481
4.450,3.389,2.794,0.595
4.466,3.389,2.542,0.626
4.482,3.344,2.534,0.595
4.498,3.519,2.466,0.626
4.514,3.244,2.573,0.542
4.530,3.473,2.557,0.489
4.546,3.313,2.321,0.710
4.563,3.290,2.328,0.664
4.579,3.573,2.458,0.588
4.595,3.695,2.435,0.374
4.611,3.137,2.389,0.573
4.627,3.420,2.595,0.573
4.644,3.252,2.336,0.496
4.660,3.359,2.718,0.466
4.676,3.412,2.450,0.550
4.692,3.344,2.397,0.573
4.708,3.618,2.641,0.794
4.724,3.420,2.656,0.702
4.740,3.458,2.672,0.481
4.757,3.382,2.420,0.718
4.773,3.374,2.519,0.794
4.789,3.206,2.603,0.145
4.805,3.351,2.702,0.595
4.822,3.489,2.481,0.550
4.838,3.336,2.511,0.504
4.854,3.336,2.435,0.550
4.870,3.511,2.405,0.542
4.886,3.130,2.656,0.786
4.903,3.229,2.656,0.458
4.919,3.695,2.595,0.649
4.935,3.374,2.527,0.656
4.951,3.496,2.290,0.519
4.968,3.275,2.664,0.565
4.984,3.557,2.802,0.397
5.000,3.435,2.595,0.832
5.016,3.160,2.656,0.534
5.032,3.595,2.557,0.450
5.048,3.489,2.702,0.366
5.064,3.275,2.557,0.802
5.080,3.313,2.573,0.756
5.096,3.496,2.351,0.557
5.112,3.542,2.626,0.435
5.128,3.351,2.458,0.763
5.145,3.374,2.519,0.290
5.161,3.458,2.595,0.832
5.177,3.176,2.206,0.565
5.193,3.603,2.504,0.740
5.209,3.328,2.863,0.718
5.226,3.321,2.374,0.557
5.242,3.389,2.641,0.588
5.258,3.313,2.435,0.588
5.274,3.374,2.664,0.412
5.290,3.298,2.901,0.504
5.306,3.038,2.672,0.435
5.323,3.267,2.595,0.511
5.339,3.176,2.687,0.580
5.355,3.389,2.565,0.412
5.374,3.397,2.656,0.664
5.390,3.397,2.634,0.672
5.408,3.382,2.405,0.542
5.424,3.511,2.328,0.466
5.440,3.458,2.733,0.779
5.464,3.382,2.740,0.374
5.480,3.405,2.687,0.664
5.497,3.595,2.748,0.641
5.513,3.313,2.733,0.534
5.529,3.534,2.405,0.382
5.545,3.298,2.710,0.809
5.561,3.405,2.565,0.473
5.578,3.473,2.649,0.740
5.594,3.412,2.550,0.458
5.610,3.366,2.664,0.748
5.626,3.641,2.649,0.527
5.642,3.298,2.626,0.687
5.659,3.435,2.580,0.237
5.675,3.397,2.595,0.550
