0.00, -4544, -2640, 15336, 32, 13, 69
0.04, -4240, -2340, 15264, 80, 55, 112
0.17, -3888, -2836, 13896, -10, -100, 364
0.24, -1164, -3752, 15340, 240, 545, 419
0.30, -2436, -3016, 16696, 405, 656, 609
0.37, -2980, -3412, 14972, 407, 598, 701
0.40, -2392, -1920, 13028, 407, 603, 540
0.43, -1880, -1236, 12388, 501, 638, 958
0.46, -1360, 192, 14600, 473, 665, 1146
0.48, -2452, 2216, 18332, -19, 516, 1271
0.50, -5012, -2276, 13556, -69, 899, 1164
0.53, -9768, -1024, 16376, -31, 814, 1170
0.55, -11876, 536, 16300, -213, 653, 1294
0.57, -12372, 324, 14080, -262, 482, 1461
0.59, -13560, 880, 11484, -417, 138, 1469
0.62, -15348, -336, 11756, -578, -231, 1471
0.64, -14696, -452, 12136, -615, -842, 1533
0.67, -11952, -696, 12748, -681, -1094, 1621
0.69, -9264, -772, 13984, -742, -1237, 1643
0.71, -5740, -2316, 14328, -684, -1239, 1638
0.73, -2968, -2032, 14796, -483, -1112, 1629
0.75, -1280, -632, 15676, -332, -832, 1610
0.77, 600, -588, 14988, -138, -450, 1542
0.79, 1460, -172, 16336, 37, 148, 1339
0.81, 860, 884, 17972, 44, 428, 1229
0.83, 780, -700, 15164, 87, 488, 1298
0.85, -3120, -2008, 14216, 64, 911, 1099
0.88, -6208, -2096, 15360, -292, 896, 908
0.89, -3628, -1952, 12792, -484, 1093, 796
0.91, -5332, -2284, 14404, -577, 1068, 735
0.94, -4400, -3872, 12928, -372, 1067, 307
0.96, -660, -796, 13024, -188, 1172, 95
0.98, -4168, 1004, 16540, -284, 1047, -110
1.01, -6660, 204, 14684, -132, 1024, -162
1.02, -9996, 2124, 16244, -223, 752, -133
1.04, -11428, 1812, 12876, -237, 422, 96
1.07, -11524, 2588, 14568, -193, -105, 337
1.08, -9456, 1260, 12332, -116, -438, 550
1.10, -5692, 168, 11160, 147, -491, 804
1.12, -3940, 2020, 16584, 110, -649, 768
1.14, -5112, 3452, 16800, -301, -342, 1062
1.16, -8052, 580, 16544, -303, 135, 1142
1.18, -10548, 2548, 15580, -583, 217, 1272
1.20, -14844, 996, 11912, -688, 140, 1382
1.22, -15728, 1068, 12224, -708, -58, 1352
1.23, -16580, 932, 14004, -763, -308, 1312
1.25, -14808, 972, 12780, -706, -583, 1321
1.27, -13340, 2036, 11120, -805, -751, 1335
1.29, -12044, 1308, 10912, -782, -996, 1528
1.31, -9112, 3120, 10736, -1059, -1064, 1696
1.33, -7200, 2608, 11272, -1274, -1061, 1919
1.35, -5776, -620, 11508, -1100, -1200, 2091
1.37, -4356, -3528, 14608, -894, -1056, 1975
1.39, -1472, -5104, 16428, -578, -1082, 1684
1.41, 1424, -8464, 13740, 87, -777, 1222
1.42, 160, -3940, 18036, 300, -307, 792
